sig_key,width,toggles
RSA_tb.RSA.MULT_BLK.mux3_1.b[31:0],32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RSA_tb.RSA.MULT_BLK.mux3_1.c[31:0],32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RSA_tb.RSA.MULT_BLK.mux4_1.Sel[1:0],2,160260 47362
RSA_tb.RSA.MULT_BLK.mux4_1.a[31:0],32,140628 106892 152208 162375 178991 119739 183391 146186 157603 164337 116136 141352 147121 140263 133994 172799 134334 152717 122856 155052 137594 140613 196257 177315 115488 170160 98744 146802 183651 140442 139415 196401
RSA_tb.RSA.MULT_BLK.mux4_1.b[31:0],32,242535 243747 246787 250987 250099 251079 247729 251559 248943 251337 247441 247085 252333 247249 247619 250939 248125 251523 247357 251021 251417 248305 251107 248747 247241 248219 247289 249475 241057 240347 232069 219057
RSA_tb.RSA.MULT_BLK.mux4_1.c[31:0],32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RSA_tb.RSA.MULT_BLK.mux4_1.d[31:0],32,132581 133303 136389 136412 136312 136420 137100 137239 137632 137094 136727 136853 137510 137156 136153 136524 136875 137068 137617 136825 137021 137168 136798 137262 137143 137697 136683 139387 136880 136825 125684 124668
RSA_tb.RSA.MULT_BLK.ArithCore.z[32:0],33,33038 136340 136746 139382 140060 139892 139962 140692 140928 141236 140698 140312 140302 141288 140432 139750 140044 140372 140844 141276 140208 140752 140814 140422 140922 140042 140554 140274 139864 140564 140680 140454 164822
RSA_tb.RSA.MULT_BLK.ArithCore.y[31:0],32,119529 84783 128519 111771 152769 93803 145331 129015 118669 138353 105169 120923 121317 112485 113723 146959 122585 126823 102943 114423 120675 112961 145875 138259 104913 147409 87571 121365 144857 120271 111605 145629
RSA_tb.RSA.MULT_BLK.ArithCore.x[31:0],32,34169 34277 34057 34109 33877 34007 34383 33973 34193 34279 34293 34177 34209 34121 34189 34081 34281 34081 34281 34023 34087 34215 34153 34125 33983 34101 34067 33919 34203 34051 34123 33311
RSA_tb.RSA.MULT_BLK.ArithCore.q[63:0],64,37344 47672 53554 62672 68156 76470 75824 79652 80752 81142 80486 80376 80364 80376 80772 80508 80814 79840 80796 80394 80496 80306 80348 80512 80866 80956 81904 83618 86318 91434 119566 146676 229815 231027 234067 238267 237379 238359 235009 238839 236223 238617 234721 234365 239613 234529 234899 238219 235405 238803 234637 238301 238697 235585 238387 236027 234521 235499 234569 236755 228337 227627 219349 219057
RSA_tb.RSA.MULT_BLK.ArithCore.c[31:0],32,54132 64478 70038 78884 84250 92382 91688 95432 96536 96786 96386 96250 96136 96074 96512 96324 96376 95948 96364 96140 96394 96250 96022 96174 96278 96068 96316 96482 96586 96128 95106 96012
RSA_tb.RSA.MULT_BLK.REG_C.CLK,1,3612846
RSA_tb.RSA.MULT_BLK.REG_C.En,1,1628422
RSA_tb.RSA.MULT_BLK.REG_C.RSTn,1,1
RSA_tb.RSA.MULT_BLK.REG_C.Rst,1,49126
RSA_tb.RSA.MULT_BLK.REG_C.d[31:0],32,98048 108740 114338 123504 129026 137324 136722 140518 141628 142016 141352 141258 141244 141238 141670 141370 141694 140714 141670 141272 141368 141166 141220 141384 141738 141838 142786 144492 147186 152292 148070 184592
RSA_tb.RSA.MULT_BLK.REG_C.q[31:0],32,54132 64478 70038 78884 84250 92382 91688 95432 96536 96786 96386 96250 96136 96074 96512 96324 96376 95948 96364 96140 96394 96250 96022 96174 96278 96068 96316 96482 96586 96128 95106 96012
RSA_tb.RSA.MULT_BLK.REG_X.CLK,1,3612846
RSA_tb.RSA.MULT_BLK.REG_X.En,1,160260
RSA_tb.RSA.MULT_BLK.REG_X.RSTn,1,1
RSA_tb.RSA.MULT_BLK.REG_X.Rst,1,2
RSA_tb.RSA.MULT_BLK.REG_X.d[31:0],32,232508 212698 252284 227883 259181 200673 242853 257480 228351 254007 234534 241946 239767 225427 234560 256491 243584 236445 218186 243516 249134 226309 261893 242581 225508 264820 222090 238230 245905 229792 216457 264333
RSA_tb.RSA.MULT_BLK.REG_X.q[31:0],32,34169 34277 34057 34109 33877 34007 34383 33973 34193 34279 34293 34177 34209 34121 34189 34081 34281 34081 34281 34023 34087 34215 34153 34125 33983 34101 34067 33919 34203 34051 34123 33311
RSA_tb.RSA.MULT_BLK.REG_Y.CLK,1,3612846
RSA_tb.RSA.MULT_BLK.REG_Y.En,1,1676520
RSA_tb.RSA.MULT_BLK.REG_Y.RSTn,1,1
RSA_tb.RSA.MULT_BLK.REG_Y.Rst,1,2
RSA_tb.RSA.MULT_BLK.REG_Y.d[31:0],32,189920 159698 201466 212389 225461 173307 229639 195234 207401 210821 165404 190630 197185 190059 183304 219311 183610 202765 175710 204100 186622 190407 242753 223613 164756 215920 151586 196010 229949 189708 189231 242855
RSA_tb.RSA.MULT_BLK.REG_Y.q[31:0],32,119529 84783 128519 111771 152769 93803 145331 129015 118669 138353 105169 120923 121317 112485 113723 146959 122585 126823 102943 114423 120675 112961 145875 138259 104913 147409 87571 121365 144857 120271 111605 145629
RSA_tb.RSA.MULT_BLK.REG_Z.CLK,1,3612846
RSA_tb.RSA.MULT_BLK.REG_Z.En,1,1627676
RSA_tb.RSA.MULT_BLK.REG_Z.RSTn,1,1
RSA_tb.RSA.MULT_BLK.REG_Z.Rst,1,48106
RSA_tb.RSA.MULT_BLK.REG_Z.d[31:0],32,132581 133303 136389 136412 136312 136420 137100 137239 137632 137094 136727 136853 137510 137156 136153 136524 136875 137068 137617 136825 137021 137168 136798 137262 137143 137697 136683 139387 136880 136825 125684 124668
RSA_tb.RSA.MULT_BLK.REG_Z.q[31:0],32,132072 132754 135436 135950 135760 135872 136536 136734 137056 136632 136042 136252 137128 136488 135638 135926 136282 136606 137166 136092 136552 136710 136298 136772 135990 136524 136174 135760 136294 136156 136884 135624
RSA_tb.RSA.SEQ_BLK.BSY,1,6
RSA_tb.RSA.SEQ_BLK.CLK,1,3612846
RSA_tb.RSA.SEQ_BLK.Drdy,1,2
RSA_tb.RSA.SEQ_BLK.Dvld,1,2
RSA_tb.RSA.SEQ_BLK.EN,1,0
RSA_tb.RSA.SEQ_BLK.Fin,1,750
RSA_tb.RSA.SEQ_BLK.Krdy,1,2
RSA_tb.RSA.SEQ_BLK.Kvld,1,2
RSA_tb.RSA.SEQ_BLK.MemSel,1,372
RSA_tb.RSA.SEQ_BLK.Mrdy,1,2
RSA_tb.RSA.SEQ_BLK.Mvld,1,2
RSA_tb.RSA.SEQ_BLK.Pc_MM,1,510
RSA_tb.RSA.SEQ_BLK.RSTn,1,1
RSA_tb.RSA.SEQ_BLK.key_bit,1,126
RSA_tb.RSA.SEQ_BLK.sign,1,96012
RSA_tb.RSA.SEQ_BLK.v,1,124668
RSA_tb.RSA.SEQ_BLK.jp1[4:0],5,112394 162546 262850 413306 815328
RSA_tb.RSA.SEQ_BLK.jj[4:0],5,100303 150455 250759 401215 802431
RSA_tb.RSA.SEQ_BLK.j[4:0],5,100304 150456 250760 401216 802432
RSA_tb.RSA.SEQ_BLK.i[9:0],10,748 750 754 762 1522 1554 2362 3978 6464 12928
RSA_tb.RSA.SEQ_BLK.ad_s[6:0],7,193038 256462 287524 478276 836100 1198024 872732
RSA_tb.RSA.SEQ_BLK.ad_m[6:0],7,910384 430466 844140 847672 854736 902162 929952
RSA_tb.RSA.SEQ_BLK.Start_O,1,2
RSA_tb.RSA.SEQ_BLK.Start_MR,1,2
RSA_tb.RSA.SEQ_BLK.Start_MM,1,740
RSA_tb.RSA.SEQ_BLK.Start_IN,1,2
RSA_tb.RSA.SEQ_BLK.Start_C,1,2
RSA_tb.RSA.SEQ_BLK.Pc[11:0],12,4 4 4 2050 1542 232 510 2050 4 4 2 2
RSA_tb.RSA.SEQ_BLK.MemCon_s[8:0],9,1605542 183326 99798 163222 194284 385036 766540 1175086 872732
RSA_tb.RSA.SEQ_BLK.MemCon_m[8:0],9,161806 1604064 895144 414718 842936 846468 853532 901698 929952
RSA_tb.RSA.SEQ_BLK.MBCon[30:16],15,1628422 49126 1627676 48106 160260 2 1676520 2 136640 47362 57610 48104 2 65536 56578
RSA_tb.RSA.SEQ_BLK.Hlt_O,1,2
RSA_tb.RSA.SEQ_BLK.Hlt_MR,1,2
RSA_tb.RSA.SEQ_BLK.Hlt_MM,1,740
RSA_tb.RSA.SEQ_BLK.Hlt_IN,1,2
RSA_tb.RSA.SEQ_BLK.Hlt_C,1,2
