"Node","Matches"
"InvMixColumn1.728:AS
m1c = mul4x8({ 4'h9 }, s0c) ^ mul4x8({ 4'he }, s1c) ^ mul4x8({ 4'hb }, s2c) ^ mul4x8({ 4'hd }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn1.m1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s3c[7:0]', 7, 0)]"
"138:NS
start_flag <= start_flag;","[('aes128_table_ecb_bench.dut.start_flag', 0, 0)]"
"344:IF","[]"
"170:IF","[]"
"146:NS
key_val <= 1'b1;","[('aes128_table_ecb_bench.key_val', 0, 0)]"
"334:AS
cipher_text[31:0] = { s_row[0][3], s_row[1][3], s_row[2][3], s_row[3][3] } ^ w[3];","[('aes128_table_ecb_bench.dut.cipher_text[127:0]', 31, 0)]"
"InvSubBytes.553:AS
b13 = is_box(a13);","[('aes128_table_ecb_bench.dut.InvSubBytes.b13[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a13[7:0]', 7, 0)]"
"SubBytes.466:AS
b13 = s_box(a13);","[('aes128_table_ecb_bench.dut.SubBytes.b13[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a13[7:0]', 7, 0)]"
"145:IF","[]"
"252:IF","[]"
"93:BL","[]"
"101:IF","[]"
"349:BL
{ istate[0], istate[1], istate[2], istate[3] } <= add_iroundkey0;","[('aes128_table_ecb_bench.dut.add_iroundkey0[127:0]', 127, 0)]"
"215:NS
{ iw[0], iw[1], iw[2], iw[3] } <= next_ikey;","[('aes128_table_ecb_bench.dut.next_ikey[127:0]', 127, 0)]"
"405:AS
add_iroundkey[63:32] = { is_box[0][2], is_box[1][2], is_box[2][2], is_box[3][2] } ^ iw[2];","[('aes128_table_ecb_bench.dut.add_iroundkey[127:0]', 63, 32)]"
"275:AS
add_roundkey0 = text_in ^ { w[0], w[1], w[2], w[3] };","[('aes128_table_ecb_bench.dut.add_roundkey0[127:0]', 127, 0), ('aes128_table_ecb_bench.text_in[127:0]', 127, 0)]"
"InvSubBytes.544:AS
b21 = is_box(a21);","[('aes128_table_ecb_bench.dut.InvSubBytes.b21[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a21[7:0]', 7, 0)]"
"163:IF","[]"
"InvSubBytes.547:AS
b02 = is_box(a02);","[('aes128_table_ecb_bench.dut.InvSubBytes.b02[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a02[7:0]', 7, 0)]"
"Leaf_118:AL","[]"
"103:IF","[]"
"MixColumns3.680:AS
m2c = mul4x8({ 4'h1 }, s0c) ^ mul4x8({ 4'h1 }, s1c) ^ mul4x8({ 4'h2 }, s2c) ^ mul4x8({ 4'h3 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns3.m2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s3c[7:0]', 7, 0)]"
"169:IF","[]"
"Leaf_251:AL","[]"
"327:AS
add_roundkey[31:0] = { m_col[0][3], m_col[1][3], m_col[2][3], m_col[3][3] } ^ w[3];","[('aes128_table_ecb_bench.dut.add_roundkey[127:0]', 31, 0)]"
"215:IF","[]"
"352:IF","[]"
"230:AS
next_ikey[95:64] = iw[1] ^ iw[0];","[('aes128_table_ecb_bench.dut.next_ikey[127:0]', 95, 64)]"
"324:AS
add_roundkey[127:96] = { m_col[0][0], m_col[1][0], m_col[2][0], m_col[3][0] } ^ w[0];","[('aes128_table_ecb_bench.dut.add_roundkey[127:0]', 127, 96)]"
"352:BL
{ istate[0], istate[1], istate[2], istate[3] } <= { im_col[0], im_col[1], im_col[2], im_col[3] };","[]"
"SubBytes.450:AS
b00 = s_box(a00);","[('aes128_table_ecb_bench.dut.SubBytes.b00[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a00[7:0]', 7, 0)]"
"192:AS
rcon = (round_n == 4'h0)? 8'h01 :
(8'h00 | (round_n == 4'h1))? 8'h02 :
(8'h00 | (round_n == 4'h2))? 8'h04 :
(8'h00 | (round_n == 4'h3))? 8'h08 :
(8'h00 | (round_n == 4'h4))? 8'h10 :
(8'h00 | (round_n == 4'h5))? 8'h20 :
(8'h00 | (round_n == 4'h6))? 8'h40 :
(8'h00 | (round_n == 4'h7))? 8'h80 :
(8'h00 | (round_n == 4'h8))? 8'h1b :
(8'h00 | (round_n == 4'h9))? 8'h36 : 8'h00;","[('aes128_table_ecb_bench.dut.rcon[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.round_n[3:0]', 3, 0)]"
"150:IF","[]"
"163:BL
{ w[0], w[1], w[2], w[3] } <= { 128{ 1'b0 } };
round10_key <= { 128{ 1'b0 } };","[('aes128_table_ecb_bench.dut.round10_key[127:0]', 127, 0)]"
"127:BL","[]"
"174:NS
round10_key <= { w[0], w[1], w[2], w[3] };","[('aes128_table_ecb_bench.dut.round10_key[127:0]', 127, 0)]"
"InvMixColumn2.728:AS
m1c = mul4x8({ 4'h9 }, s0c) ^ mul4x8({ 4'he }, s1c) ^ mul4x8({ 4'hb }, s2c) ^ mul4x8({ 4'hd }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn2.m1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s3c[7:0]', 7, 0)]"
"333:AS
cipher_text[63:32] = { s_row[0][2], s_row[1][2], s_row[2][2], s_row[3][2] } ^ w[2];","[('aes128_table_ecb_bench.dut.cipher_text[127:0]', 63, 32)]"
"99:BS
next_state = 3'h2;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
