sig_key,width,toggles
aes128_table_ecb_bench.dut.InvMixColumn2.m2c[7:0],8,11 9 6 8 5 7 6 6
aes128_table_ecb_bench.dut.InvMixColumn2.m3c[7:0],8,7 6 7 10 8 8 8 9
aes128_table_ecb_bench.dut.InvMixColumn2.s0c[7:0],8,5 9 7 8 10 6 6 9
aes128_table_ecb_bench.dut.InvMixColumn2.s1c[7:0],8,8 8 5 7 7 7 11 7
aes128_table_ecb_bench.dut.InvMixColumn2.s2c[7:0],8,8 6 8 10 11 7 6 8
aes128_table_ecb_bench.dut.InvMixColumn2.s3c[7:0],8,7 9 10 8 5 4 8 12
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.c0[7:0],8,0 0 0 7 7 0 7 7
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.c1[7:0],8,0 0 12 12 0 12 12 0
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.c2[7:0],8,0 5 5 0 5 5 0 0
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.sc[7:0],8,5 9 7 8 10 6 6 9
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.sxm0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.sxm1[7:0],8,5 9 7 8 10 6 6 9
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.sxm2[7:0],8,5 9 7 8 10 6 6 9
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.sxm3[7:0],8,5 9 7 8 10 6 6 9
aes128_table_ecb_bench.dut.InvMixColumn2.mul4x8.temp[10:0],11,5 12 7 12 7 10 10 9 7 9 0
aes128_table_ecb_bench.dut.InvMixColumn3.m0c[7:0],8,10 3 9 9 6 6 5 3
aes128_table_ecb_bench.dut.InvMixColumn3.m1c[7:0],8,4 6 9 6 7 3 5 8
aes128_table_ecb_bench.dut.InvMixColumn3.m2c[7:0],8,10 8 11 7 10 7 5 3
aes128_table_ecb_bench.dut.InvMixColumn3.m3c[7:0],8,8 8 8 7 8 5 6 5
aes128_table_ecb_bench.dut.InvMixColumn3.s0c[7:0],8,7 6 7 9 8 5 7 8
aes128_table_ecb_bench.dut.InvMixColumn3.s1c[7:0],8,6 5 11 6 4 4 7 9
aes128_table_ecb_bench.dut.InvMixColumn3.s2c[7:0],8,4 6 8 4 7 7 6 8
aes128_table_ecb_bench.dut.InvMixColumn3.s3c[7:0],8,5 8 7 6 6 3 5 6
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.c0[7:0],8,0 0 0 8 8 0 8 8
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.c1[7:0],8,0 0 5 5 0 5 5 0
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.c2[7:0],8,0 7 7 0 7 7 0 0
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.sc[7:0],8,7 6 7 9 8 5 7 8
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.sxm0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.sxm1[7:0],8,7 6 7 9 8 5 7 8
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.sxm2[7:0],8,7 6 7 9 8 5 7 8
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.sxm3[7:0],8,7 6 7 9 8 5 7 8
aes128_table_ecb_bench.dut.InvMixColumn3.mul4x8.temp[10:0],11,7 5 8 6 4 8 8 6 7 8 0
aes128_table_ecb_bench.dut.InvSubBytes.a00[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a01[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a02[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a03[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a10[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a11[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a12[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a13[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a20[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a21[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a22[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a23[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a30[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a31[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a32[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.a33[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b33[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b32[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b31[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b30[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b23[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b22[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b21[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b20[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b13[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b12[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b11[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b10[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b03[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b02[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b01[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.b00[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvSubBytes.is_box.aij[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.m0c[7:0],8,8 7 6 7 6 5 2 6
aes128_table_ecb_bench.dut.MixColumns0.m1c[7:0],8,5 3 6 4 5 4 7 5
aes128_table_ecb_bench.dut.MixColumns0.m2c[7:0],8,6 7 7 3 4 6 5 7
aes128_table_ecb_bench.dut.MixColumns0.m3c[7:0],8,5 6 3 6 4 3 4 7
aes128_table_ecb_bench.dut.MixColumns0.s0c[7:0],8,9 5 6 7 5 6 7 6
aes128_table_ecb_bench.dut.MixColumns0.s1c[7:0],8,6 8 7 7 6 5 4 4
aes128_table_ecb_bench.dut.MixColumns0.s2c[7:0],8,6 5 5 6 9 5 7 5
aes128_table_ecb_bench.dut.MixColumns0.s3c[7:0],8,1 7 6 8 7 8 4 6
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.c0[7:0],8,0 0 0 9 9 0 9 9
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.c1[7:0],8,0 0 0 0 0 0 0 0
